Quality of Life,Stress Level,Frequency of Medical Checkup,Employment Status,Age,Religiosity Score,Income
Good,Low,1.1,Unemployed,59,5.41,76868.98
Poor,High,1.7,Employed,54,5.99,52210.27
Moderate,Moderate,1.12,Employed,70,3.04,52761.99
Good,High,2.78,Unemployed,39,2.1,30803.03
Moderate,High,1.42,Unemployed,79,7.87,43232.55
Poor,Low,1.83,Employed,59,5.5,76210.65
Poor,Low,2.62,Unemployed,29,6.54,49284.75
Poor,High,2.7,Unemployed,59,1.48,43332.51
Moderate,Low,1.09,Employed,78,7.13,56085.79
Moderate,Moderate,3.06,Employed,30,3.96,47116.74
Poor,Moderate,2.46,Unemployed,28,3.39,55177.27
Moderate,Low,0.92,Employed,71,4.87,37253.88
Poor,Moderate,0.67,Employed,33,3.04,48842.71
Poor,Low,1.98,Unemployed,25,5.0,40383.86
Good,High,2.85,Employed,57,4.73,22940.5
Moderate,High,2.88,Employed,76,7.12,57229.37
Poor,Moderate,2.36,Employed,74,8.03,31493.41
Poor,Low,2.05,Employed,57,7.96,47528.89
Moderate,Low,2.51,Employed,62,0.47,63891.02
Good,Moderate,1.14,Unemployed,76,3.13,27532.8
Good,High,3.69,Unemployed,19,0.45,59070.26
Poor,Moderate,3.67,Employed,47,2.61,45502.8
Moderate,High,2.43,Unemployed,47,3.7,35502.15
Good,Low,2.2,Employed,29,5.82,80343.85
Moderate,High,1.59,Employed,27,3.96,49991.66
Moderate,Moderate,2.53,Employed,61,4.02,41478.61
Poor,Low,1.31,Employed,28,5.36,38296.81
Good,Moderate,0.0,Employed,32,1.58,63217.44
Poor,Moderate,0.0,Unemployed,33,3.32,40819.16
Good,High,1.2,Unemployed,34,3.99,61347.77
Good,Moderate,2.16,Employed,43,4.6,49962.8
Good,High,2.33,Unemployed,19,5.15,66742.82
Good,Low,1.51,Employed,67,8.0,34361.91
Good,High,2.14,Unemployed,29,6.82,36454.05
Moderate,Low,1.73,Employed,68,3.46,45784.92
Poor,High,1.0,Unemployed,43,4.48,47029.0
Moderate,Moderate,1.95,Employed,40,4.34,44681.64
Good,High,2.81,Employed,35,3.97,89471.61
Poor,High,1.05,Unemployed,79,5.55,80948.71
Good,Low,1.05,Unemployed,49,1.28,54485.83
Poor,Moderate,0.93,Employed,66,6.76,56254.58
Moderate,High,0.06,Unemployed,79,8.39,46453.52
Poor,Moderate,1.52,Employed,55,4.46,34252.62
Poor,High,2.71,Unemployed,74,4.42,47268.92
Poor,High,2.17,Unemployed,64,5.31,61566.77
Poor,Moderate,1.83,Employed,20,7.04,69584.4
Poor,High,2.13,Unemployed,55,4.35,64935.63
Good,Moderate,1.51,Unemployed,20,6.87,27353.39
Poor,High,0.05,Employed,47,5.98,45661.58
Poor,Low,2.78,Unemployed,78,9.72,27966.99
Moderate,Moderate,3.07,Employed,18,4.34,67532.65
Poor,High,1.27,Employed,47,1.05,43814.23
Moderate,High,1.85,Employed,62,2.13,49293.35
Good,Low,1.76,Employed,49,5.02,57200.75
Poor,Moderate,2.35,Employed,45,7.06,91492.1
Moderate,High,3.69,Unemployed,38,3.69,54024.12
Moderate,Low,3.16,Employed,75,4.54,46425.93
Good,High,1.62,Employed,63,6.37,31384.37
Poor,Moderate,2.54,Unemployed,30,3.07,71879.59
Poor,High,3.25,Unemployed,44,3.78,47275.45
Moderate,High,2.41,Unemployed,53,2.66,74857.14
Poor,High,2.0,Employed,24,7.36,66584.2
Moderate,High,2.45,Employed,39,8.08,43055.66
Poor,Low,1.3,Employed,27,1.84,29115.86
Moderate,Low,1.44,Unemployed,56,4.72,54088.54
Poor,Moderate,0.94,Employed,70,7.81,40776.45
Good,Low,2.31,Unemployed,32,5.8,50590.19
Poor,Low,1.87,Employed,32,4.02,65735.74
Poor,Moderate,1.18,Unemployed,21,1.91,25196.27
Good,Low,1.84,Employed,49,7.31,53969.21
Poor,Low,2.47,Employed,40,5.72,61393.94
Good,Moderate,3.91,Employed,72,2.05,62121.66
Poor,Moderate,3.01,Unemployed,23,7.38,29546.87
Moderate,Moderate,0.0,Unemployed,41,1.8,56290.05
Moderate,High,2.24,Employed,37,4.56,68053.05
Poor,High,3.43,Employed,75,4.47,55148.51
Poor,Moderate,0.66,Employed,54,8.24,48264.59
Poor,Moderate,2.55,Unemployed,37,4.48,67094.19
Moderate,Moderate,1.76,Employed,29,4.47,39585.22
Poor,High,3.15,Employed,50,2.27,27052.51
Moderate,High,2.4,Employed,45,3.72,46991.03
Good,Low,1.12,Employed,25,3.37,58025.68
Moderate,Low,1.8,Unemployed,18,3.47,65584.05
Moderate,Moderate,1.86,Unemployed,54,5.01,57957.54
Good,High,1.88,Employed,39,0.13,62537.32
Moderate,High,3.12,Employed,23,1.98,65679.67
Poor,High,1.16,Unemployed,78,4.78,44909.34
Poor,Moderate,3.0,Unemployed,38,5.24,47780.91
Moderate,Low,1.7,Employed,49,4.53,69307.52
Poor,Moderate,2.22,Unemployed,52,4.92,31847.64
Moderate,Low,2.07,Unemployed,32,4.18,56436.99
Poor,Low,1.98,Employed,22,4.96,39249.37
Poor,Moderate,1.99,Unemployed,77,5.87,66503.92
Moderate,Low,3.46,Unemployed,73,5.85,49730.97
Poor,Low,2.84,Employed,63,3.62,50113.91
Moderate,High,1.64,Employed,67,6.83,75933.2
Poor,Low,3.58,Unemployed,65,5.31,33859.36
Poor,Moderate,2.27,Employed,23,7.46,53237.29
Good,Moderate,2.36,Unemployed,42,7.87,47298.11
Good,Low,1.16,Employed,73,2.11,57986.17
Moderate,High,1.5,Unemployed,63,3.28,78939.96
Good,High,1.31,Employed,76,6.63,40921.38
Moderate,Low,2.09,Unemployed,73,1.67,32039.03
Good,Low,2.64,Unemployed,57,7.84,37860.09
Poor,Moderate,2.37,Unemployed,46,4.31,46507.73
Moderate,Low,3.59,Employed,24,6.15,50963.46
Moderate,High,1.11,Employed,57,4.77,51717.93
Poor,Low,2.11,Unemployed,30,2.22,77039.91
Moderate,Moderate,0.72,Unemployed,55,7.11,74372.59
Moderate,Moderate,1.08,Employed,35,10.0,69544.2
Good,Moderate,3.26,Employed,19,3.97,87716.58
Moderate,Moderate,1.54,Employed,25,4.36,62361.48
Poor,Moderate,1.2,Employed,28,0.0,66625.33
Good,Low,0.0,Employed,50,7.7,62071.56
Good,Low,1.19,Employed,71,6.82,59613.58
Poor,Low,1.79,Unemployed,78,1.53,55915.95
Poor,Low,0.64,Employed,55,0.87,44047.14
Good,Moderate,1.74,Unemployed,65,1.1,31298.33
Moderate,High,3.27,Employed,44,6.29,48040.19
Good,Low,1.29,Employed,37,6.49,58486.61
Poor,High,1.06,Unemployed,29,3.15,51083.93
Good,Low,0.88,Unemployed,60,6.0,34019.96
Poor,Low,0.86,Employed,78,5.32,47511.75
Good,High,2.54,Unemployed,48,4.27,46729.96
Moderate,Moderate,2.05,Unemployed,44,6.94,49064.68
Good,Low,2.96,Unemployed,49,2.59,57363.73
Good,Low,4.02,Unemployed,78,7.3,60593.87
Poor,Low,0.17,Employed,27,3.54,42499.23
Poor,High,2.38,Unemployed,20,8.56,64716.82
Poor,Moderate,0.88,Employed,62,2.99,66974.57
Good,High,2.79,Employed,44,4.3,54804.53
Moderate,High,1.73,Employed,52,5.12,59971.25
Poor,Moderate,2.03,Employed,48,5.1,64763.47
Poor,High,0.72,Unemployed,32,5.98,33535.33
Good,Moderate,1.57,Unemployed,33,2.43,65820.97
Poor,Low,2.09,Employed,78,4.93,38149.09
Moderate,Moderate,3.36,Employed,30,5.28,39609.48
Moderate,Low,1.21,Employed,66,3.94,52944.34
Poor,High,1.45,Employed,52,5.81,17839.4
Poor,High,2.94,Unemployed,69,2.31,52634.3
Good,Low,1.14,Employed,28,4.35,64726.71
Moderate,High,3.14,Unemployed,76,3.49,25311.14
Moderate,Moderate,1.99,Employed,38,4.35,66335.14
Poor,Low,2.3,Employed,68,7.89,39518.19
Good,High,2.37,Employed,71,7.93,53102.93
Moderate,Low,1.38,Employed,28,7.54,41696.38
Moderate,Moderate,2.39,Unemployed,47,4.08,58593.78
Good,Moderate,1.23,Unemployed,77,6.82,65374.21
Good,High,1.5,Unemployed,65,5.22,59705.16
Moderate,Moderate,2.56,Employed,70,5.09,49940.28
Moderate,Low,2.29,Employed,52,4.85,42862.17
Good,Moderate,1.93,Unemployed,39,8.52,48960.47
Moderate,Low,0.74,Unemployed,55,7.73,59839.57
Poor,Low,0.99,Employed,48,6.49,60354.0
Poor,Moderate,2.28,Employed,31,4.66,58262.4
Good,High,2.73,Unemployed,41,5.08,30761.34
Good,Moderate,0.89,Employed,67,6.06,49654.66
Good,Low,1.16,Employed,66,3.96,40498.57
Poor,Low,2.13,Unemployed,49,6.88,59973.94
Moderate,Moderate,2.11,Employed,53,3.16,38525.42
Poor,High,0.38,Unemployed,49,5.78,56780.81
Moderate,High,2.16,Employed,72,0.42,45767.18
Poor,Low,1.4,Unemployed,32,3.9,21813.56
Moderate,Low,3.64,Employed,60,9.16,63964.39
Poor,High,2.25,Unemployed,75,7.07,49620.69
Good,Moderate,2.42,Unemployed,52,8.07,69139.66
Poor,Low,2.45,Unemployed,20,3.67,25020.36
Moderate,Low,0.79,Unemployed,33,5.21,45627.18
Poor,High,3.94,Employed,22,7.56,46753.93
Poor,Moderate,0.38,Employed,38,6.27,54053.09
Poor,High,2.8,Unemployed,78,6.02,30122.19
Good,Moderate,2.62,Employed,27,8.26,58160.57
Poor,Moderate,1.52,Employed,36,2.92,78674.94
Good,Moderate,2.67,Employed,42,4.63,57118.06
Good,Low,1.68,Employed,21,1.49,51393.09
Poor,High,1.32,Employed,78,2.81,29338.14
Poor,High,2.47,Unemployed,46,7.15,38386.31
Poor,Moderate,0.99,Unemployed,36,3.17,49162.33
Moderate,Low,1.78,Unemployed,60,6.47,42053.35
Poor,Low,1.41,Unemployed,19,8.32,65393.85
Good,High,1.66,Employed,27,4.64,58005.55
Poor,Low,2.43,Employed,78,6.04,90385.68
Moderate,Low,1.41,Unemployed,60,6.49,35287.12
Poor,Moderate,1.81,Employed,42,2.56,50496.72
Moderate,Low,1.5,Employed,37,3.77,29247.61
Moderate,Moderate,3.44,Unemployed,65,2.99,16663.39
Poor,High,2.34,Employed,36,3.93,60840.81
Good,Low,2.22,Unemployed,40,6.43,57449.23
Moderate,High,2.68,Unemployed,41,3.81,37181.14
Poor,High,1.41,Employed,28,4.93,51395.44
Poor,Low,2.86,Employed,63,2.92,40560.99
Good,Low,2.35,Unemployed,51,7.45,42586.89
Moderate,High,0.44,Unemployed,72,3.91,45195.73
Moderate,Low,0.57,Employed,45,8.05,36551.52
Poor,Moderate,1.43,Unemployed,22,5.12,39250.25
Poor,Moderate,0.68,Unemployed,76,2.19,39673.47
Good,Low,1.76,Unemployed,22,4.66,56343.18
Good,High,0.99,Employed,68,2.87,10000.0
Moderate,Low,1.9,Unemployed,38,6.18,46585.56
Moderate,Low,3.41,Employed,29,4.48,33684.77
Poor,High,1.95,Unemployed,67,5.33,34226.71
Moderate,High,1.7,Employed,21,4.26,42115.2
Good,Moderate,2.39,Unemployed,71,3.89,49784.9
Good,High,1.3,Employed,66,3.05,46783.82
Poor,Moderate,2.84,Employed,59,6.67,34039.09
Good,High,2.5,Employed,37,4.65,60825.45
Good,Low,2.04,Unemployed,55,4.37,36460.94
Good,Moderate,2.15,Unemployed,42,4.6,38979.41
Good,Moderate,4.04,Unemployed,31,3.64,54267.38
Poor,Moderate,2.94,Employed,28,4.38,54805.53
Poor,Low,4.2,Unemployed,49,5.41,40824.51
Moderate,Low,2.53,Employed,28,2.93,10000.0
Good,Low,0.53,Unemployed,78,3.22,36717.64
Moderate,Low,1.74,Employed,35,7.76,52428.32
Poor,Low,0.3,Employed,44,4.27,60329.12
Poor,Moderate,2.53,Employed,72,3.9,48810.55
Poor,Low,2.75,Unemployed,71,2.31,42815.21
Poor,Moderate,1.11,Unemployed,35,6.7,84398.17
Poor,Low,1.34,Unemployed,73,2.89,44412.71
Poor,High,2.15,Employed,40,4.97,59183.49
Poor,Moderate,0.8,Employed,28,1.58,29974.22
Good,High,0.73,Unemployed,38,6.64,33647.48
Moderate,Moderate,3.24,Unemployed,61,7.35,59709.88
Poor,High,2.11,Unemployed,22,5.97,65668.42
Good,Low,1.44,Employed,40,1.93,44154.25
Good,Low,0.31,Employed,58,6.68,22270.46
Moderate,Low,2.85,Employed,76,3.35,47486.64
Poor,Moderate,1.32,Employed,42,2.66,52841.09
Moderate,High,3.86,Employed,58,4.23,51482.27
Poor,Low,2.86,Unemployed,71,4.19,41549.16
Good,High,1.19,Employed,27,3.99,47706.74
Good,High,1.28,Employed,39,7.55,38753.35
Good,Low,3.72,Employed,36,9.02,33322.43
Good,Low,1.92,Employed,18,2.26,61335.03
Moderate,High,1.49,Employed,24,3.62,51466.97
Poor,Low,2.03,Unemployed,21,5.29,47739.75
Poor,Low,1.48,Employed,18,4.22,42392.78
Moderate,Low,2.24,Employed,32,5.8,47297.4
Poor,Moderate,1.92,Employed,57,6.83,52404.75
Good,High,2.88,Unemployed,29,6.5,75930.22
Poor,High,1.61,Unemployed,39,6.22,59818.05
Good,Moderate,1.12,Unemployed,39,8.32,40005.36
Moderate,High,1.65,Employed,67,1.82,40163.54
Poor,Low,1.64,Unemployed,64,7.96,37824.78
Moderate,High,1.92,Employed,34,4.17,46992.19
Poor,Low,2.63,Employed,46,6.57,37813.23
Good,Moderate,2.58,Unemployed,63,2.94,57122.36
Moderate,Low,3.2,Employed,31,3.18,10347.26
Poor,High,1.19,Employed,67,6.32,58027.52
Good,High,2.39,Employed,37,1.14,54130.66
Moderate,High,2.73,Unemployed,67,6.98,68941.14
Moderate,Moderate,1.33,Employed,65,7.52,63151.84
Poor,Moderate,1.79,Employed,50,5.36,39744.53
Poor,High,0.25,Unemployed,72,5.28,61464.47
Poor,Low,2.91,Employed,76,3.33,47478.99
Good,Moderate,1.78,Employed,60,6.35,20985.4
Poor,High,2.81,Unemployed,32,5.7,52382.48
Moderate,High,2.21,Employed,29,3.16,40636.2
Moderate,Moderate,1.81,Employed,57,4.22,50003.32
Poor,Moderate,0.41,Employed,71,4.68,74771.75
Poor,Moderate,0.59,Employed,37,4.21,53371.8
Moderate,Low,0.0,Employed,47,2.27,34739.98
Good,Low,1.44,Unemployed,55,6.4,64466.23
Poor,High,4.28,Unemployed,20,4.51,55438.14
Poor,Moderate,0.71,Unemployed,45,5.03,32972.57
Moderate,Low,0.0,Unemployed,73,3.84,25906.43
Poor,Moderate,2.96,Employed,43,5.95,35339.94
Good,High,4.36,Employed,47,5.4,62544.53
Moderate,Low,2.3,Employed,30,7.43,45475.97
Poor,Low,2.29,Employed,30,5.96,51217.14
Moderate,Low,1.69,Employed,19,4.59,29922.05
Poor,High,0.21,Unemployed,54,3.52,62948.28
Poor,Moderate,0.55,Unemployed,66,6.73,19772.25
Poor,Low,1.68,Employed,55,4.43,40169.34
Good,High,1.49,Employed,19,4.66,56276.96
Good,Moderate,1.88,Employed,53,4.66,33160.53
Moderate,High,2.83,Unemployed,71,4.2,59211.94
Poor,Moderate,1.42,Employed,43,4.69,36962.09
Poor,High,2.85,Employed,28,8.85,31608.94
Good,Moderate,1.42,Employed,25,2.9,69297.23
Poor,Low,3.04,Unemployed,61,3.37,52308.95
Good,Moderate,2.09,Employed,57,7.77,57785.54
Poor,High,1.56,Unemployed,60,4.25,65273.14
Moderate,High,2.07,Unemployed,39,4.1,10710.52
Poor,Moderate,1.71,Unemployed,37,7.07,59521.74
Poor,Low,2.11,Unemployed,25,2.16,38584.62
Good,Low,2.76,Unemployed,46,6.64,40560.91
Poor,Moderate,1.91,Unemployed,57,5.09,56561.62
Poor,Moderate,1.63,Employed,43,5.93,44554.39
Good,High,0.88,Employed,47,5.89,58917.82
Moderate,Low,2.58,Employed,34,3.74,49387.36
Moderate,Moderate,2.35,Unemployed,37,7.1,52523.14
Good,Low,0.82,Employed,69,3.9,42646.68
Good,Moderate,2.84,Unemployed,72,5.82,34026.0
Good,Moderate,0.8,Unemployed,33,7.48,38895.24
Good,Low,3.03,Unemployed,63,7.76,48457.64
Good,Moderate,2.69,Employed,79,4.47,77558.58
Moderate,Moderate,2.42,Unemployed,60,5.93,72078.6
Moderate,High,1.62,Unemployed,24,4.28,40200.56
Good,Moderate,2.58,Employed,33,10.0,50903.87
Poor,Moderate,3.08,Employed,62,6.56,45684.16
Good,Moderate,2.59,Unemployed,76,5.17,51954.0
Poor,High,1.33,Unemployed,64,5.63,53883.69
Good,Low,2.27,Employed,73,5.81,57912.73
Good,High,3.13,Employed,65,5.87,10000.0
Moderate,High,4.2,Employed,44,4.52,55497.48
Poor,Low,1.79,Unemployed,70,4.21,44016.18
Poor,High,2.86,Employed,40,4.7,39425.93
Moderate,Low,3.13,Employed,41,2.72,61913.85
Moderate,High,1.19,Employed,26,6.44,72002.37
Moderate,Low,3.78,Unemployed,52,3.4,60335.05
Moderate,Moderate,0.93,Employed,68,2.88,42221.73
Poor,High,2.81,Employed,37,4.97,33859.92
Poor,High,2.31,Employed,54,4.74,10000.0
Good,High,2.06,Employed,59,5.5,52737.74
Good,High,4.55,Employed,34,3.86,58685.24
Moderate,Moderate,1.7,Unemployed,64,4.21,48472.05
Moderate,High,1.68,Unemployed,48,6.38,64006.19
Moderate,Moderate,3.33,Unemployed,72,6.26,30197.15
Good,Moderate,2.76,Employed,74,6.18,47431.42
Good,Moderate,3.28,Unemployed,25,5.07,46245.49
Good,Moderate,2.12,Unemployed,32,5.34,48348.37
Good,Low,2.32,Unemployed,48,5.46,67518.97
Good,Low,3.9,Employed,70,3.69,48427.37
Good,High,1.16,Employed,47,7.95,45578.11
Good,Low,1.9,Unemployed,63,7.66,35949.6
Moderate,Low,2.8,Unemployed,37,6.59,69928.69
Moderate,High,1.8,Employed,77,4.15,28532.06
Moderate,High,1.43,Employed,56,6.08,41705.01
Moderate,High,2.62,Unemployed,70,6.96,75409.06
Good,Low,3.34,Employed,72,2.55,57023.65
Poor,Low,1.86,Unemployed,29,8.39,49697.35
Good,High,1.83,Employed,66,1.52,50325.38
Poor,Moderate,1.35,Unemployed,34,6.41,35804.33
Moderate,High,1.7,Unemployed,59,7.91,48972.09
Good,Moderate,3.08,Employed,47,4.77,44752.01
Moderate,Moderate,2.08,Unemployed,46,4.7,52694.43
Good,High,1.2,Unemployed,36,6.34,27406.38
Moderate,High,2.26,Unemployed,63,8.7,55967.78
Poor,High,3.05,Employed,28,4.44,65249.45
Poor,Low,1.44,Employed,51,3.44,46942.65
Poor,Moderate,0.67,Employed,67,4.15,59706.48
Good,Low,4.19,Unemployed,24,1.89,54655.19
Poor,Low,0.62,Employed,61,6.8,40883.9
Good,High,1.64,Unemployed,75,3.97,34122.11
Poor,Low,2.23,Unemployed,51,4.58,36224.17
Poor,High,1.73,Employed,76,6.82,54393.39
Good,Moderate,1.93,Employed,37,4.25,49157.82
Good,High,2.58,Unemployed,67,6.52,69126.4
Poor,Low,0.0,Unemployed,55,2.92,61863.05
Good,Low,0.73,Employed,41,6.92,61831.77
Poor,High,2.04,Employed,27,5.68,53946.21
Good,High,1.6,Employed,49,4.82,35567.02
Moderate,Low,2.13,Unemployed,69,5.26,54880.09
Moderate,Moderate,2.23,Unemployed,32,2.43,50957.8
Moderate,Moderate,0.0,Unemployed,54,5.22,32924.28
Moderate,High,3.27,Unemployed,37,4.72,68149.24
Moderate,Moderate,1.5,Unemployed,20,2.48,66534.34
Poor,Low,1.13,Employed,54,3.66,32837.76
Moderate,High,2.21,Employed,79,4.74,40433.08
Moderate,Low,2.11,Unemployed,74,3.79,41750.75
Moderate,Low,3.2,Unemployed,57,0.18,59147.77
Moderate,Moderate,2.27,Employed,25,7.15,57420.88
Good,High,3.16,Employed,57,4.72,50666.11
Poor,High,1.06,Employed,61,0.45,54107.86
Moderate,Moderate,2.14,Employed,73,9.27,30685.52
Moderate,Low,0.89,Unemployed,40,7.48,55720.42
Moderate,Low,2.1,Employed,57,4.3,48486.72
Poor,Low,1.89,Unemployed,28,3.32,39814.35
Good,Low,1.84,Employed,63,5.81,27012.41
Poor,High,1.85,Employed,25,5.4,50404.42
Good,High,2.74,Employed,46,6.08,55354.4
Moderate,Moderate,0.39,Unemployed,47,3.32,24462.77
Moderate,Moderate,1.1,Unemployed,73,7.2,50277.29
Poor,High,1.96,Employed,77,4.05,51833.6
Poor,High,0.82,Unemployed,27,6.36,41686.56
Good,Low,2.05,Unemployed,56,3.41,55697.57
Good,Low,1.95,Employed,45,10.0,48010.06
Poor,Moderate,0.6,Employed,66,6.39,54247.57
Good,High,0.55,Unemployed,53,10.0,58013.7
Poor,Moderate,0.0,Unemployed,78,6.66,58022.1
Good,High,0.78,Unemployed,30,3.88,65252.31
Poor,Low,2.01,Employed,49,6.66,55074.88
Poor,Moderate,2.16,Employed,53,6.8,42844.39
Poor,Moderate,2.2,Unemployed,54,5.75,40283.15
Good,High,1.22,Employed,43,6.26,34050.37
Good,Low,1.98,Employed,39,6.52,52267.69
Good,Moderate,2.4,Unemployed,21,3.01,69819.68
Poor,Low,0.73,Unemployed,48,2.87,44623.21
Good,Moderate,2.12,Employed,35,3.41,56744.12
Good,Low,2.66,Employed,55,5.26,38715.8
Poor,High,1.51,Unemployed,41,4.55,52922.07
Moderate,Moderate,3.06,Employed,73,3.05,68890.21
Poor,Moderate,1.53,Employed,40,6.55,60293.72
Good,Low,1.14,Unemployed,39,5.57,26437.82
Poor,Low,2.56,Unemployed,19,5.34,58560.42
Moderate,Moderate,4.03,Employed,48,4.48,59243.39
Poor,High,2.09,Employed,72,4.24,52602.3
Good,Low,2.63,Employed,28,3.32,60012.83
Moderate,Low,1.49,Unemployed,45,6.87,37497.47
Good,Low,0.76,Employed,63,3.59,50948.95
Moderate,Moderate,2.17,Employed,49,5.42,66652.61
Moderate,Moderate,2.32,Unemployed,79,8.32,65299.24
Poor,Moderate,1.64,Unemployed,22,4.34,58220.67
Poor,Moderate,2.63,Employed,55,6.92,36755.07
Good,High,1.35,Unemployed,27,6.14,34393.04
Poor,High,1.1,Unemployed,57,5.62,51718.16
Poor,Moderate,3.06,Employed,63,5.86,52711.61
Moderate,High,3.07,Unemployed,41,4.81,48494.42
Poor,Low,1.37,Unemployed,52,5.07,37928.23
Moderate,Low,3.72,Employed,61,3.9,56554.42
Moderate,Low,1.71,Unemployed,65,5.08,51652.48
Moderate,Moderate,2.08,Employed,77,3.83,54347.36
Good,Low,1.92,Employed,79,7.01,58901.51
Good,High,2.52,Unemployed,40,1.6,45895.25
Good,Moderate,2.27,Unemployed,34,5.96,42668.62
Moderate,High,2.26,Unemployed,18,5.67,66613.48
Good,Low,0.98,Employed,72,5.49,38639.62
Good,Low,0.31,Unemployed,48,7.05,42962.39
Poor,Low,3.14,Employed,48,4.43,68513.72
Good,Moderate,1.45,Unemployed,59,5.51,41794.64
Good,High,1.95,Unemployed,74,1.57,48520.74
Moderate,Moderate,2.33,Unemployed,72,4.17,43820.45
Moderate,Moderate,3.63,Employed,59,6.71,23251.68
Moderate,Low,2.16,Unemployed,70,2.32,48150.39
Moderate,Moderate,1.61,Unemployed,73,5.32,34840.67
Moderate,Moderate,1.48,Employed,51,3.64,53818.71
Moderate,Low,1.96,Employed,26,4.78,66584.58
Good,Moderate,1.09,Unemployed,39,3.76,16787.39
Moderate,Low,2.03,Unemployed,30,2.51,43896.25
Moderate,Low,1.95,Unemployed,42,5.77,56784.85
Poor,Low,3.64,Employed,65,4.9,17249.77
Good,Low,1.92,Employed,35,6.23,70043.98
Good,Moderate,0.08,Employed,68,6.59,55698.38
Good,Low,4.67,Employed,29,7.45,66248.19
Moderate,Low,2.96,Unemployed,57,5.27,41540.78
Moderate,Moderate,4.08,Employed,34,7.54,43350.19
Moderate,Moderate,0.84,Employed,32,3.05,47585.95
Poor,High,1.78,Employed,59,6.82,82073.14
Moderate,Moderate,2.67,Unemployed,32,5.92,69771.58
Poor,Moderate,2.54,Unemployed,32,5.47,51985.22
Good,High,2.31,Employed,72,5.89,53816.03
Moderate,Moderate,0.0,Employed,56,3.08,59523.56
Poor,Moderate,0.29,Unemployed,30,2.61,85873.32
Poor,Moderate,3.52,Unemployed,34,8.42,55740.8
Moderate,Moderate,3.7,Unemployed,49,4.66,50689.39
Good,High,1.89,Unemployed,26,4.63,44921.02
Good,Moderate,3.39,Unemployed,57,2.8,53523.73
Good,Moderate,0.98,Unemployed,37,2.04,41194.67
Poor,High,1.21,Unemployed,43,4.82,57441.39
Poor,Low,0.9,Unemployed,44,4.32,28511.05
Poor,High,1.15,Employed,38,5.0,46092.49
Poor,Low,2.72,Employed,35,5.17,61019.49
Good,High,1.14,Employed,30,9.98,55536.85
Moderate,High,4.24,Employed,33,4.32,43060.63
Poor,Moderate,2.46,Employed,26,8.16,46519.63
Poor,Low,3.08,Employed,29,8.28,65530.02
Good,Moderate,2.49,Unemployed,61,6.51,31843.97
Moderate,Low,3.21,Unemployed,55,4.53,31931.1
Moderate,High,1.13,Employed,36,2.28,36055.49
Good,High,3.45,Employed,77,5.96,49839.83
Good,Low,2.14,Unemployed,24,7.04,29648.93
Moderate,Moderate,3.21,Unemployed,74,8.5,64295.02
Poor,Moderate,0.56,Unemployed,52,3.1,36135.61
Moderate,Moderate,2.18,Employed,65,4.51,53365.33
Good,Moderate,2.15,Unemployed,35,3.11,41313.9
Poor,High,1.38,Employed,33,3.73,49017.54
Poor,High,2.31,Employed,72,6.33,25949.81
Good,High,3.54,Unemployed,56,3.64,65019.74
Good,High,1.3,Unemployed,21,3.35,35577.53
Good,High,2.96,Employed,76,6.59,34006.75
Moderate,Moderate,0.87,Unemployed,42,5.9,85685.14
Moderate,Moderate,4.11,Unemployed,49,5.7,58314.61
Poor,Moderate,2.78,Employed,79,3.69,64436.25
Good,Moderate,3.73,Unemployed,57,7.59,56883.37
Poor,High,2.67,Employed,30,5.03,43212.79
Poor,High,2.39,Employed,62,9.76,30397.25
Poor,High,2.79,Unemployed,34,5.32,45517.69
Poor,Low,1.86,Employed,66,0.33,35327.61
Good,Moderate,0.38,Employed,54,0.24,36228.27
Poor,Moderate,2.45,Unemployed,23,6.25,26252.19
Good,High,1.24,Unemployed,36,7.6,51717.14
Good,Moderate,0.9,Unemployed,30,3.43,73601.18
Moderate,Moderate,2.64,Employed,74,9.2,58372.05
Good,High,1.72,Employed,77,8.33,48413.14
Moderate,Low,3.03,Unemployed,43,5.42,49391.42
Good,Low,1.21,Employed,31,6.08,10000.0
Good,Low,1.53,Unemployed,48,6.79,43642.47
Good,High,3.15,Unemployed,71,8.78,28599.86
Moderate,Moderate,2.28,Employed,21,6.36,52016.19
Moderate,High,0.52,Unemployed,77,5.38,46100.36
Poor,High,2.26,Employed,56,6.34,36960.43
