Quality of Life,Stress Level,Frequency of Medical Checkup,Employment Status,Age,Religiosity Score
Moderate,High,3.27,Employed,44,6.29
Good,Low,1.29,Employed,37,6.49
Poor,High,1.06,Unemployed,29,3.15
Good,Low,0.88,Unemployed,60,6
Poor,Low,0.86,Employed,78,5.32
Good,High,2.54,Unemployed,48,4.27
Moderate,Moderate,2.05,Unemployed,44,6.94
Good,Low,2.96,Unemployed,49,2.59
Good,Low,4.02,Unemployed,78,7.3
Poor,Low,0.17,Employed,27,3.54
Poor,High,2.38,Unemployed,20,8.56
Poor,Moderate,0.88,Employed,62,2.99
Good,High,2.79,Employed,44,4.3
Moderate,High,1.73,Employed,52,5.12
Poor,Moderate,2.03,Employed,48,5.1
Poor,High,0.72,Unemployed,32,5.98
Good,Moderate,1.57,Unemployed,33,2.43
Poor,Low,2.09,Employed,78,4.93
Moderate,Moderate,3.36,Employed,30,5.28
Moderate,Low,1.21,Employed,66,3.94
Poor,High,1.45,Employed,52,5.81
Poor,High,2.94,Unemployed,69,2.31
Good,Low,1.14,Employed,28,4.35
Moderate,High,3.14,Unemployed,76,3.49
Moderate,Moderate,1.99,Employed,38,4.35
Poor,Low,2.3,Employed,68,7.89
Good,High,2.37,Employed,71,7.93
Moderate,Low,1.38,Employed,28,7.54
Moderate,Moderate,2.39,Unemployed,47,4.08
Good,Moderate,1.23,Unemployed,77,6.82
Good,High,1.5,Unemployed,65,5.22
Moderate,Moderate,2.56,Employed,70,5.09
Moderate,Low,2.29,Employed,52,4.85
Good,Moderate,1.93,Unemployed,39,8.52
Moderate,Low,0.74,Unemployed,55,7.73
Poor,Low,0.99,Employed,48,6.49
Poor,Moderate,2.28,Employed,31,4.66
Good,High,2.73,Unemployed,41,5.08
Good,Moderate,0.89,Employed,67,6.06
Good,Low,1.16,Employed,66,3.96
Poor,Low,2.13,Unemployed,49,6.88
Moderate,Moderate,2.11,Employed,53,3.16
Poor,High,0.38,Unemployed,49,5.78
Moderate,High,2.16,Employed,72,0.42
Poor,Low,1.4,Unemployed,32,3.9
Moderate,Low,3.64,Employed,60,9.16
Poor,High,2.25,Unemployed,75,7.07
Good,Moderate,2.42,Unemployed,52,8.07
Poor,Low,2.45,Unemployed,20,3.67
Moderate,Low,0.79,Unemployed,33,5.21
Poor,High,3.94,Employed,22,7.56
Poor,Moderate,0.38,Employed,38,6.27
Poor,High,2.8,Unemployed,78,6.02
Good,Moderate,2.62,Employed,27,8.26
Poor,Moderate,1.52,Employed,36,2.92
Good,Moderate,2.67,Employed,42,4.63
Good,Low,1.68,Employed,21,1.49
Poor,High,1.32,Employed,78,2.81
Poor,High,2.47,Unemployed,46,7.15
Poor,Moderate,0.99,Unemployed,36,3.17
Moderate,Low,1.78,Unemployed,60,6.47
Poor,Low,1.41,Unemployed,19,8.32
Good,High,1.66,Employed,27,4.64
Poor,Low,2.43,Employed,78,6.04
Moderate,Low,1.41,Unemployed,60,6.49
Poor,Moderate,1.81,Employed,42,2.56
Moderate,Low,1.5,Employed,37,3.77
Moderate,Moderate,3.44,Unemployed,65,2.99
Poor,High,2.34,Employed,36,3.93
Good,Low,2.22,Unemployed,40,6.43
Moderate,High,2.68,Unemployed,41,3.81
Poor,High,1.41,Employed,28,4.93
Poor,Low,2.86,Employed,63,2.92
Good,Low,2.35,Unemployed,51,7.45
Moderate,High,0.44,Unemployed,72,3.91
Moderate,Low,0.57,Employed,45,8.05
Poor,Moderate,1.43,Unemployed,22,5.12
Poor,Moderate,0.68,Unemployed,76,2.19
Good,Low,1.76,Unemployed,22,4.66
Good,High,0.99,Employed,68,2.87
Moderate,Low,1.9,Unemployed,38,6.18
Moderate,Low,3.41,Employed,29,4.48
Poor,High,1.95,Unemployed,67,5.33
Moderate,High,1.7,Employed,21,4.26
Good,Moderate,2.39,Unemployed,71,3.89
Good,High,1.3,Employed,66,3.05
Poor,Moderate,2.84,Employed,59,6.67
Good,High,2.5,Employed,37,4.65
Good,Low,2.04,Unemployed,55,4.37
Good,Moderate,2.15,Unemployed,42,4.6
Good,Moderate,4.04,Unemployed,31,3.64
Poor,Moderate,2.94,Employed,28,4.38
Poor,Low,4.2,Unemployed,49,5.41
Moderate,Low,2.53,Employed,28,2.93
Good,Low,0.53,Unemployed,78,3.22
Moderate,Low,1.74,Employed,35,7.76
Poor,Low,0.3,Employed,44,4.27
Poor,Moderate,2.53,Employed,72,3.9
Poor,Low,2.75,Unemployed,71,2.31
Poor,Moderate,1.11,Unemployed,35,6.7
Poor,Low,1.34,Unemployed,73,2.89
Poor,High,2.15,Employed,40,4.97
Poor,Moderate,0.8,Employed,28,1.58
Good,High,0.73,Unemployed,38,6.64
Moderate,Moderate,3.24,Unemployed,61,7.35
Poor,High,2.11,Unemployed,22,5.97
Good,Low,1.44,Employed,40,1.93
Good,Low,0.31,Employed,58,6.68
Moderate,Low,2.85,Employed,76,3.35
Poor,Moderate,1.32,Employed,42,2.66
Moderate,High,3.86,Employed,58,4.23
Poor,Low,2.86,Unemployed,71,4.19
Good,High,1.19,Employed,27,3.99
Good,High,1.28,Employed,39,7.55
Good,Low,3.72,Employed,36,9.02
Good,Low,1.92,Employed,18,2.26
Moderate,High,1.49,Employed,24,3.62
Poor,Low,2.03,Unemployed,21,5.29
Poor,Low,1.48,Employed,18,4.22
Moderate,Low,2.24,Employed,32,5.8
Poor,Moderate,1.92,Employed,57,6.83
Good,High,2.88,Unemployed,29,6.5
Poor,High,1.61,Unemployed,39,6.22
Good,Moderate,1.12,Unemployed,39,8.32
Moderate,High,1.65,Employed,67,1.82
Poor,Low,1.64,Unemployed,64,7.96
Moderate,High,1.92,Employed,34,4.17
Poor,Low,2.63,Employed,46,6.57
Good,Moderate,2.58,Unemployed,63,2.94
Moderate,Low,3.2,Employed,31,3.18
Poor,High,1.19,Employed,67,6.32
Good,High,2.39,Employed,37,1.14
Moderate,High,2.73,Unemployed,67,6.98
Moderate,Moderate,1.33,Employed,65,7.52
Poor,Moderate,1.79,Employed,50,5.36
Poor,High,0.25,Unemployed,72,5.28
Poor,Low,2.91,Employed,76,3.33
Good,Moderate,1.78,Employed,60,6.35
Poor,High,2.81,Unemployed,32,5.7
Moderate,High,2.21,Employed,29,3.16
Moderate,Moderate,1.81,Employed,57,4.22
Poor,Moderate,0.41,Employed,71,4.68
Poor,Moderate,0.59,Employed,37,4.21
Moderate,Low,0,Employed,47,2.27
Good,Low,1.44,Unemployed,55,6.4
Poor,High,4.28,Unemployed,20,4.51
Poor,Moderate,0.71,Unemployed,45,5.03
Moderate,Low,0,Unemployed,73,3.84
Poor,Moderate,2.96,Employed,43,5.95
Good,High,4.36,Employed,47,5.4
Moderate,Low,2.3,Employed,30,7.43
Poor,Low,2.29,Employed,30,5.96
Moderate,Low,1.69,Employed,19,4.59
Poor,High,0.21,Unemployed,54,3.52
Poor,Moderate,0.55,Unemployed,66,6.73
Poor,Low,1.68,Employed,55,4.43
Good,High,1.49,Employed,19,4.66
Good,Moderate,1.88,Employed,53,4.66
Moderate,High,2.83,Unemployed,71,4.2
Poor,Moderate,1.42,Employed,43,4.69
Poor,High,2.85,Employed,28,8.85
Good,Moderate,1.42,Employed,25,2.9
Poor,Low,3.04,Unemployed,61,3.37
Good,Moderate,2.09,Employed,57,7.77
Poor,High,1.56,Unemployed,60,4.25
Moderate,High,2.07,Unemployed,39,4.1
Poor,Moderate,1.71,Unemployed,37,7.07
Poor,Low,2.11,Unemployed,25,2.16
Good,Low,2.76,Unemployed,46,6.64
Poor,Moderate,1.91,Unemployed,57,5.09
Poor,Moderate,1.63,Employed,43,5.93
Good,High,0.88,Employed,47,5.89
Moderate,Low,2.58,Employed,34,3.74
Moderate,Moderate,2.35,Unemployed,37,7.1
Good,Low,0.82,Employed,69,3.9
Good,Moderate,2.84,Unemployed,72,5.82
Good,Moderate,0.8,Unemployed,33,7.48
Good,Low,3.03,Unemployed,63,7.76
Good,Moderate,2.69,Employed,79,4.47
Moderate,Moderate,2.42,Unemployed,60,5.93
Moderate,High,1.62,Unemployed,24,4.28
Good,Moderate,2.58,Employed,33,10
Poor,Moderate,3.08,Employed,62,6.56
Good,Moderate,2.59,Unemployed,76,5.17
Poor,High,1.33,Unemployed,64,5.63
Good,Low,2.27,Employed,73,5.81
Good,High,3.13,Employed,65,5.87
Moderate,High,4.2,Employed,44,4.52
Poor,Low,1.79,Unemployed,70,4.21
Poor,High,2.86,Employed,40,4.7
Moderate,Low,3.13,Employed,41,2.72
Moderate,High,1.19,Employed,26,6.44
Moderate,Low,3.78,Unemployed,52,3.4
Moderate,Moderate,0.93,Employed,68,2.88
Poor,High,2.81,Employed,37,4.97
Poor,High,2.31,Employed,54,4.74
Good,High,2.06,Employed,59,5.5
Good,High,4.55,Employed,34,3.86
Moderate,Moderate,1.7,Unemployed,64,4.21
Moderate,High,1.68,Unemployed,48,6.38
Moderate,Moderate,3.33,Unemployed,72,6.26
Good,Moderate,2.76,Employed,74,6.18
Good,Moderate,3.28,Unemployed,25,5.07
Good,Moderate,2.12,Unemployed,32,5.34
Good,Low,2.32,Unemployed,48,5.46
Good,Low,3.9,Employed,70,3.69
Good,High,1.16,Employed,47,7.95
Good,Low,1.9,Unemployed,63,7.66
Moderate,Low,2.8,Unemployed,37,6.59
Moderate,High,1.8,Employed,77,4.15
Moderate,High,1.43,Employed,56,6.08
Moderate,High,2.62,Unemployed,70,6.96
Good,Low,3.34,Employed,72,2.55
Poor,Low,1.86,Unemployed,29,8.39
Good,High,1.83,Employed,66,1.52
Poor,Moderate,1.35,Unemployed,34,6.41
Moderate,High,1.7,Unemployed,59,7.91
Good,Moderate,3.08,Employed,47,4.77
Moderate,Moderate,2.08,Unemployed,46,4.7
Good,High,1.2,Unemployed,36,6.34
Moderate,High,2.26,Unemployed,63,8.7
Poor,High,3.05,Employed,28,4.44
Poor,Low,1.44,Employed,51,3.44
Poor,Moderate,0.67,Employed,67,4.15
Good,Low,4.19,Unemployed,24,1.89
Poor,Low,0.62,Employed,61,6.8
Good,High,1.64,Unemployed,75,3.97
Poor,Low,2.23,Unemployed,51,4.58
Poor,High,1.73,Employed,76,6.82
Good,Moderate,1.93,Employed,37,4.25
Good,High,2.58,Unemployed,67,6.52
Poor,Low,0,Unemployed,55,2.92
Good,Low,0.73,Employed,41,6.92
Poor,High,2.04,Employed,27,5.68
Good,High,1.6,Employed,49,4.82
Moderate,Low,2.13,Unemployed,69,5.26
Moderate,Moderate,2.23,Unemployed,32,2.43
Moderate,Moderate,0,Unemployed,54,5.22
Moderate,High,3.27,Unemployed,37,4.72
Moderate,Moderate,1.5,Unemployed,20,2.48
Poor,Low,1.13,Employed,54,3.66
Moderate,High,2.21,Employed,79,4.74
Moderate,Low,2.11,Unemployed,74,3.79
Moderate,Low,3.2,Unemployed,57,0.18
Moderate,Moderate,2.27,Employed,25,7.15
Good,High,3.16,Employed,57,4.72
Poor,High,1.06,Employed,61,0.45
Moderate,Moderate,2.14,Employed,73,9.27
Moderate,Low,0.89,Unemployed,40,7.48
Moderate,Low,2.1,Employed,57,4.3
Poor,Low,1.89,Unemployed,28,3.32
Good,Low,1.84,Employed,63,5.81
Poor,High,1.85,Employed,25,5.4
Good,High,2.74,Employed,46,6.08
Moderate,Moderate,0.39,Unemployed,47,3.32
Moderate,Moderate,1.1,Unemployed,73,7.2
Poor,High,1.96,Employed,77,4.05
Poor,High,0.82,Unemployed,27,6.36
Good,Low,2.05,Unemployed,56,3.41
Good,Low,1.95,Employed,45,10
Poor,Moderate,0.6,Employed,66,6.39
Good,High,0.55,Unemployed,53,10
Poor,Moderate,0,Unemployed,78,6.66
Good,High,0.78,Unemployed,30,3.88
Poor,Low,2.01,Employed,49,6.66
Poor,Moderate,2.16,Employed,53,6.8
Poor,Moderate,2.2,Unemployed,54,5.75
Good,High,1.22,Employed,43,6.26
Good,Low,1.98,Employed,39,6.52
Good,Moderate,2.4,Unemployed,21,3.01
Poor,Low,0.73,Unemployed,48,2.87
Good,Moderate,2.12,Employed,35,3.41
Good,Low,2.66,Employed,55,5.26
Poor,High,1.51,Unemployed,41,4.55
Moderate,Moderate,3.06,Employed,73,3.05
Poor,Moderate,1.53,Employed,40,6.55
Good,Low,1.14,Unemployed,39,5.57
Poor,Low,2.56,Unemployed,19,5.34
Moderate,Moderate,4.03,Employed,48,4.48
Poor,High,2.09,Employed,72,4.24
Good,Low,2.63,Employed,28,3.32
Moderate,Low,1.49,Unemployed,45,6.87
Good,Low,0.76,Employed,63,3.59
Moderate,Moderate,2.17,Employed,49,5.42
Moderate,Moderate,2.32,Unemployed,79,8.32
Poor,Moderate,1.64,Unemployed,22,4.34
Poor,Moderate,2.63,Employed,55,6.92
Good,High,1.35,Unemployed,27,6.14
Poor,High,1.1,Unemployed,57,5.62
Poor,Moderate,3.06,Employed,63,5.86
Moderate,High,3.07,Unemployed,41,4.81
Poor,Low,1.37,Unemployed,52,5.07
Moderate,Low,3.72,Employed,61,3.9
Moderate,Low,1.71,Unemployed,65,5.08
Moderate,Moderate,2.08,Employed,77,3.83
Good,Low,1.92,Employed,79,7.01
Good,High,2.52,Unemployed,40,1.6
Good,Moderate,2.27,Unemployed,34,5.96
Moderate,High,2.26,Unemployed,18,5.67
Good,Low,0.98,Employed,72,5.49
Good,Low,0.31,Unemployed,48,7.05
Poor,Low,3.14,Employed,48,4.43
Good,Moderate,1.45,Unemployed,59,5.51
Good,High,1.95,Unemployed,74,1.57
Moderate,Moderate,2.33,Unemployed,72,4.17
Moderate,Moderate,3.63,Employed,59,6.71
Moderate,Low,2.16,Unemployed,70,2.32
Moderate,Moderate,1.61,Unemployed,73,5.32
Moderate,Moderate,1.48,Employed,51,3.64
Moderate,Low,1.96,Employed,26,4.78
Good,Moderate,1.09,Unemployed,39,3.76
Moderate,Low,2.03,Unemployed,30,2.51
Moderate,Low,1.95,Unemployed,42,5.77
Poor,Low,3.64,Employed,65,4.9
Good,Low,1.92,Employed,35,6.23
Good,Moderate,0.08,Employed,68,6.59
Good,Low,4.67,Employed,29,7.45
Moderate,Low,2.96,Unemployed,57,5.27
Moderate,Moderate,4.08,Employed,34,7.54
Moderate,Moderate,0.84,Employed,32,3.05
Poor,High,1.78,Employed,59,6.82
Moderate,Moderate,2.67,Unemployed,32,5.92
Poor,Moderate,2.54,Unemployed,32,5.47
Good,High,2.31,Employed,72,5.89
Moderate,Moderate,0,Employed,56,3.08
Poor,Moderate,0.29,Unemployed,30,2.61
Poor,Moderate,3.52,Unemployed,34,8.42
Moderate,Moderate,3.7,Unemployed,49,4.66
Good,High,1.89,Unemployed,26,4.63
Good,Moderate,3.39,Unemployed,57,2.8
Good,Moderate,0.98,Unemployed,37,2.04
Poor,High,1.21,Unemployed,43,4.82
Poor,Low,0.9,Unemployed,44,4.32
Poor,High,1.15,Employed,38,5
Poor,Low,2.72,Employed,35,5.17
Good,High,1.14,Employed,30,9.98
Moderate,High,4.24,Employed,33,4.32
Poor,Moderate,2.46,Employed,26,8.16
Poor,Low,3.08,Employed,29,8.28
Good,Moderate,2.49,Unemployed,61,6.51
Moderate,Low,3.21,Unemployed,55,4.53
Moderate,High,1.13,Employed,36,2.28
Good,High,3.45,Employed,77,5.96
Good,Low,2.14,Unemployed,24,7.04
Moderate,Moderate,3.21,Unemployed,74,8.5
Poor,Moderate,0.56,Unemployed,52,3.1
Moderate,Moderate,2.18,Employed,65,4.51
Good,Moderate,2.15,Unemployed,35,3.11
Poor,High,1.38,Employed,33,3.73
Poor,High,2.31,Employed,72,6.33
Good,High,3.54,Unemployed,56,3.64
Good,High,1.3,Unemployed,21,3.35
Good,High,2.96,Employed,76,6.59
Moderate,Moderate,0.87,Unemployed,42,5.9
Moderate,Moderate,4.11,Unemployed,49,5.7
Poor,Moderate,2.78,Employed,79,3.69
Good,Moderate,3.73,Unemployed,57,7.59
Poor,High,2.67,Employed,30,5.03
Poor,High,2.39,Employed,62,9.76
Poor,High,2.79,Unemployed,34,5.32
Poor,Low,1.86,Employed,66,0.33
Good,Moderate,0.38,Employed,54,0.24
Poor,Moderate,2.45,Unemployed,23,6.25
Good,High,1.24,Unemployed,36,7.6
Good,Moderate,0.9,Unemployed,30,3.43
Moderate,Moderate,2.64,Employed,74,9.2
Good,High,1.72,Employed,77,8.33
Moderate,Low,3.03,Unemployed,43,5.42
Good,Low,1.21,Employed,31,6.08
Good,Low,1.53,Unemployed,48,6.79
Good,High,3.15,Unemployed,71,8.78
Moderate,Moderate,2.28,Employed,21,6.36
Moderate,High,0.52,Unemployed,77,5.38
Poor,High,2.26,Employed,56,6.34
